Spieler;Marktwert;Besitzer;TM_Stand
Pesch;200.000;Nico;06.06.2025
Hermann;160.000;Computer;06.06.2025
Muheim;3.830.000;Nico;06.06.2025
Agyekum;350.000;Computer;06.06.2025
Suzuki;6.500.000;Nico;06.06.2025
Neuer;2.450.000;Dominik;07.06.2025
Groß;7.570.000;Dominik;07.06.2025
Götze;2.970.000;Christoph;07.06.2025
Höfler;450.000;Alfons;07.06.2025
Ma. Müller;240.000;Dominik;07.06.2025
Can;3.790.000;Dominik;07.06.2025
Gregoritsch;2.610.000;Nico;07.06.2025
J. Hofmann;3.990.000;Computer;07.06.2025
K. Müller;1.680.000;Christoph;07.06.2025
Gerhardt;840.000;Christian;07.06.2025
Haberer;1.540.000;Dominik;07.06.2025
Zentner;3.620.000;Nico;07.06.2025
M. Eggestein;4.750.000;Thomas;07.06.2025
Zetterer;2.340.000;Christoph;07.06.2025
Mittelstädt;10.780.000;Thomas;07.06.2025
Gulácsi;3.300.000;Alfons;07.06.2025
Dorsch;1.740.000;Nico;07.06.2025
Heuer Fernandes;2.200.000;Thomas;07.06.2025
B. Jatta;2.540.000;Thomas;07.06.2025
Wahl;3.830.000;Thomas;07.06.2025
Schöppner;3.370.000;Computer;07.06.2025
Hübers;3.170.000;Computer;07.06.2025
Bruun Larsen;1.360.000;Thomas;07.06.2025
Hack;5.540.000;Christoph;07.06.2025
Meyer;240.000;Thomas;07.06.2025
Dahmen;3.130.000;Thomas;07.06.2025
Beste;3.490.000;Dominik;07.06.2025
Baumgartner;2.690.000;Dominik;07.06.2025
Tietz;4.170.000;Alfons;07.06.2025
Lainer;810.000;Dominik;07.06.2025
Schlager;3.130.000;Dominik;07.06.2025
Osterhage;2.800.000;Thomas;07.06.2025
Musiala;17.060.000;Thomas;07.06.2025
Doan;13.800.000;Thomas;07.06.2025
Martel;4.630.000;Alfons;07.06.2025
Dinkçi;1.860.000;Alfons;07.06.2025
Knauff;5.770.000;Nico;07.06.2025
Stach;5.950.000;Dominik;07.06.2025
La. Günther;170.000;Computer;07.06.2025
Widmer;720.000;Alfons;07.06.2025
Adli;4.400.000;Dominik;07.06.2025
Ilaix Moriba;300.000;Computer;07.06.2025
Wanner;4.370.000;Dominik;07.06.2025
Chabot;5.810.000;Computer;07.06.2025
Doekhi;4.030.000;Nico;07.06.2025
Skarke;1.400.000;Thomas;07.06.2025
Král;520.000;Computer;07.06.2025
Dina Ebimbe;490.000;Computer;07.06.2025
P. Aaronson;1.800.000;Dominik;07.06.2025
Diehl;650.000;Thomas;07.06.2025
Juranović;1.580.000;Nico;07.06.2025
Traoré;1.360.000;Christoph;07.06.2025
Rosenfelder;1.830.000;Alfons;07.06.2025
Boniface;8.340.000;Alfons;07.06.2025
Undav;12.390.000;Computer;07.06.2025
Finkgräfe;1.930.000;Christoph;07.06.2025
Stergiou;1.360.000;Dominik;07.06.2025
Pavlović;9.530.000;Nico;07.06.2025
Fukuda;430.000;Alfons;07.06.2025
Alvero;330.000;Computer;07.06.2025
Wätjen;340.000;Thomas;07.06.2025
B. Dárdai;1.820.000;Dominik;07.06.2025
Vasilj;3.090.000;Dominik;07.06.2025
Saliakas;3.360.000;Nico;07.06.2025
Sander;2.150.000;Dominik;07.06.2025
Ouédraogo;2.040.000;Nico;07.06.2025
Prtajin;300.000;Computer;07.06.2025
Querfeld;4.050.000;Alfons;07.06.2025
Veratschnig;410.000;Christoph;07.06.2025
Hendriks;1.530.000;Nico;07.06.2025
Uzun;4.410.000;Christoph;07.06.2025
Preu;460.000;Christoph;07.06.2025
Højlund;1.710.000;Alfons;07.06.2025
